,Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
16272,https://www.immoweb.be/fr/annonce/villa/a-vendre/roulers/8800/8827838,620000,Maison,False,False,False,8800,Roulers,Villa,None,None,225.0,3.0,None,False,False,False,None,False,None,1148.0,False,None
16273,https://www.immoweb.be/fr/annonce/villa/a-vendre/malle/2390/8595403,649900,Maison,False,False,False,2390,Malle,Villa,4.0,None,None,3.0,Hyper équipée,False,False,False,None,True,None,1017.0,False,None
16274,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/ixelles/1050/8480409,750000,Maison,False,True,False,1050,Ixelles,Immeuble à appartements,2.0,Excellent état,307.0,None,None,False,False,False,None,False,None,None,False,None
16275,https://www.immoweb.be/fr/annonce/maison-de-campagne/a-vendre/elsegem/9790/8381528,825000,Maison,False,False,False,9790,Elsegem,Maison de campagne,3.0,À rénover,163.0,1.0,None,False,False,False,None,False,None,18930.0,False,None
16276,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/daverdisse/6929/8063250,849000,Maison,False,False,False,6929,Daverdisse,Bien exceptionnel,4.0,Excellent état,538.0,10.0,Hyper équipée,False,False,False,None,True,None,5125.0,False,None
16277,https://www.immoweb.be/fr/annonce/maison/a-vendre/gooik/1755/8863584,850000,Maison,False,False,False,1755,Gooik,Maison,4.0,Excellent état,278.0,4.0,Hyper équipée,False,False,False,None,False,None,4105.0,True,None
16278,https://www.immoweb.be/fr/annonce/maison/a-vendre/kraainem/1950/8521500,865700,Maison,False,False,False,1950,Kraainem,Maison,4.0,Excellent état,177.0,3.0,Américaine hyper-équipée,False,False,False,None,False,None,1217.0,False,None
16279,https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke/8300/8736299,1035000,Maison,False,False,False,8300,Knokke,Villa,4.0,Bon,239.0,4.0,None,False,False,False,None,True,None,1007.0,False,None
16280,https://www.immoweb.be/fr/annonce/villa/a-vendre/brainelalleud/1420/8436741,1275000,Maison,False,False,False,1420,Brainel'Alleud,Villa,4.0,None,510.0,5.0,None,False,False,True,6300.0,False,None,None,False,None
16281,https://www.immoweb.be/fr/annonce/villa/a-vendre/lillois-witterzee/1428/8436739,1275000,Maison,False,False,False,1428,Lillois-Witterzée,Villa,4.0,None,510.0,5.0,None,False,False,True,6300.0,False,None,None,False,None
