,postal_code,price,number_of_bedroom,house_area,fully_equipped_kitchen,terrace,is_new,locality,district,province,province_int,region,region_int,district_int,ratio_free_build
16357,8550,249000,2,99,0,1,1,Zwevegem,Courtrai,flandre-occidentale,0.0,flandre,0.0,25.0,-2.2888932328767595
16358,9100,249000,3,104,0,1,1,Sint-Niklaas,Sint-Niklaas,flandre-orientale,1.0,flandre,0.0,38.0,-2.6292480821096347
16359,1060,215000,2,75,1,0,1,Saint-Gilles,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.4587450808398663
16360,1060,215000,2,75,1,0,1,Sint-Gillis,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.4587450808398663
16361,9100,215000,2,100,1,1,1,Sint-Niklaas,Sint-Niklaas,flandre-orientale,1.0,flandre,0.0,38.0,-2.6292480821096347
16362,1070,249000,2,82,1,1,1,Anderlecht,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.7727024185468894
16363,2850,239000,2,80,1,1,1,Boom,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.6389633716183725
16364,1050,235000,1,48,1,1,1,Ixelles,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.458049905353811
16365,1050,235000,1,48,1,1,1,Elsene,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.458049905353811
16366,8370,239000,2,74,1,1,1,Blankenberge,Brugge,flandre-occidentale,0.0,flandre,0.0,28.0,-2.1740595392186783
16367,4000,205000,2,93,0,1,1,Liège,Liège,liege,4.0,wallonie,1.0,3.0,-2.830604864273826
16368,6700,220000,2,84,1,1,1,Arlon,Arlon,luxembourg,10.0,wallonie,1.0,39.0,-1.5638984102976647
16369,2850,227000,2,78,0,1,0,Boom,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.6389633716183725
16370,1082,250000,2,120,1,0,1,Berchem-Sainte-Agathe,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.337559913277637
