,postal_code,price,number_of_bedroom,house_area,fully_equipped_kitchen,terrace,is_new,locality,district,province,province_int,region,region_int,district_int,ratio_free_build
16632,9600,215000,1,83,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16633,9600,215000,1,83,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16634,9600,215000,1,83,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16635,9600,215000,1,82,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16636,9600,215000,1,82,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16637,9600,215000,1,82,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16638,9600,215000,1,82,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16639,9600,219500,1,84,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16640,9600,219500,1,84,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16641,9600,219500,1,81,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16642,9600,219500,1,81,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16643,9600,219500,1,82,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16644,9600,219500,1,82,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16645,9600,219500,1,81,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16646,9600,219500,1,81,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16647,9600,234500,1,82,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16648,9600,234500,1,82,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16649,9600,234500,1,83,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16650,9600,234500,1,83,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16651,5060,239000,3,180,1,1,1,Sambreville,Namur,namur,9.0,wallonie,1.0,1.0,-2.6735700186000035
16652,4000,242000,2,91,0,1,0,Liège,Liège,liege,4.0,wallonie,1.0,3.0,-2.830604864273826
16653,9600,249000,1,84,1,1,0,Renaix,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16654,9600,249000,1,84,1,1,0,Ronse,Audenarde,flandre-orientale,1.0,flandre,0.0,19.0,-2.5345989227442414
16655,1030,209000,2,80,1,1,1,Schaerbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16656,1030,209000,2,80,1,1,1,Schaarbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16657,5030,215000,2,81,1,0,1,Gembloux,Namur,namur,9.0,wallonie,1.0,1.0,-1.8430707953448884
16658,2150,219700,2,85,1,0,0,Borsbeek,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.2885891638490863
16659,8400,225000,1,100,1,0,1,Oostende,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-2.501555833872851
16660,9000,225000,2,98,1,0,1,Gent,Gent,flandre-orientale,1.0,flandre,0.0,10.0,-2.6573197395842385
16661,8200,230000,2,104,1,0,1,Brugge,Brugge,flandre-occidentale,0.0,flandre,0.0,28.0,-2.429051382836588
16662,5500,235000,3,100,1,1,0,Dinant,Dinant,namur,9.0,wallonie,1.0,0.0,-1.0807499136483645
16663,8370,235000,2,75,1,0,1,Blankenberge,Brugge,flandre-occidentale,0.0,flandre,0.0,28.0,-2.1740595392186783
16664,1030,245000,1,90,1,0,1,Schaerbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16665,1030,245000,1,90,1,0,1,Schaarbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16666,2250,247000,3,101,1,1,1,Olen,Turnhout,anvers,2.0,flandre,0.0,22.0,-2.5644481755942903
16667,2100,249000,2,110,1,0,1,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16668,3200,249000,2,117,1,0,1,Aarschot,Leuven,brabant-flamand,5.0,flandre,0.0,2.0,-2.542434858074915
16669,8400,249900,2,65,1,1,1,Oostende,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-2.501555833872851
16670,9308,229500,2,88,1,1,1,Aalst,Aalst,flandre-orientale,1.0,flandre,0.0,13.0,-2.7404329520501327
16671,4280,219100,2,82,1,1,1,Hannut,Waremme,liege,4.0,wallonie,1.0,14.0,-1.7398038501131423
